realization,time,region,value,ci_name,ci_frequency,ci_package_name,ci_package_reference,standard_name,units
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1983-07-15,WASCAL,297.6605,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1984-07-15,WASCAL,298.24203,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1985-07-15,WASCAL,298.46658,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1986-07-15,WASCAL,298.44934,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1987-07-15,WASCAL,298.47513,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1988-07-15,WASCAL,298.8665,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1989-07-15,WASCAL,298.74652,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1990-07-15,WASCAL,298.53104,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1991-07-15,WASCAL,297.861,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1992-07-15,WASCAL,298.06107,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1993-07-15,WASCAL,298.4902,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1994-07-15,WASCAL,298.12137,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1995-07-15,WASCAL,298.83496,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1996-07-15,WASCAL,298.30954,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1997-07-15,WASCAL,297.75137,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1998-07-15,WASCAL,298.7494,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1999-07-15,WASCAL,298.28262,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2000-07-15,WASCAL,298.02847,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2001-07-15,WASCAL,298.23993,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2002-07-15,WASCAL,298.92682,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2003-07-15,WASCAL,298.9028,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2004-07-15,WASCAL,298.70703,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2005-07-15,WASCAL,298.97574,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2006-07-15,WASCAL,298.36703,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2007-07-15,WASCAL,299.59598,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2008-07-15,WASCAL,298.55518,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2009-07-15,WASCAL,299.70557,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
